PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
6979.68,7025.86,6952.02,6975.35,87666603
6966.08,6967.24,6842.9,6939.82,117146459
6949.48,7047.59,6949.07,6981.39,91236438
6991.55,7010.89,6939.88,6947.84,92626934
6920.36,6941.39,6835.74,6857.06,93168238
6879.39,6951.19,6860.52,6941.57,115261972
6958.84,7070.4,6958.5,7068.78,122558976
7075.54,7084.07,7036.09,7075.11,160370262
7055.42,7083.02,7015.35,7075.7,125094020
7072.75,7087.43,7055.83,7078.06,79250948
7100.48,7156.25,7099.12,7143.45,121753316
7163.37,7165,7077.23,7082.76,110037276
7074.89,7084.24,7008.62,7024.27,154430106
7047.7,7122.89,7023.69,7062.42,173923208
7080.78,7089.62,7000.41,7067.77,121574080
7096.84,7102.08,7043.64,7059.01,122876885
7092.89,7160.86,7087.25,7127.35,109512535
7120.64,7180.15,7114.35,7155.58,113485724
7155.47,7177.23,7102.8,7102.8,96022822
7094.56,7107.37,7033.09,7077.48,93018509
7133.34,7190.75,7105.31,7184.27,117370303
7202.62,7222.13,7160.36,7183.67,114244741
7175.75,7198.98,7144.08,7193.68,105094536
7216.66,7226.64,7186.24,7216.21,94076890
7222.05,7287.66,7214.05,7283.62,93208562
7274.17,7325.03,7272.8,7323.24,98994725
7319.12,7350.78,7310.44,7320.9,81830771
7322.62,7340.87,7269.53,7340.28,105397339
7320.07,7390.48,7283.87,7371.2,96099012
7403.83,7424.36,7378.41,7396.63,70608151
7397.68,7420.69,7376.24,7400.04,101585932
7414.23,7438.42,7399.82,7414.3,122451693
7429,7434.93,7364.04,7405.51,112234435
7422.11,7427.3,7379.94,7426.81,122191783
7412.06,7441.82,7310.69,7321.81,100847929
7293.11,7350.95,7259.67,7318.35,121301928
7295.12,7310.73,7183.3,7194.6,118025253
7134.7,7156.05,7093.91,7130.5,137571208
7139.88,7194.02,7130.15,7185.17,114084737
7173.59,7305.49,7148.94,7272.32,101476227
7309.8,7356.33,7193.78,7223.3,112183014
7169.04,7202.58,7122.69,7181.12,111173238
7225.23,7294.04,7191.14,7225.96,95319688
7262.54,7311.25,7157.12,7178.9,97468997
7137.81,7270.81,7127.31,7161.93,86672157
7211.06,7222.16,7072.47,7164.75,144200447
7177.55,7217.54,7109.26,7131.8,129975850
7078.69,7109.71,7021.95,7063.09,131966393
7002.26,7014.02,6963.31,6981.49,141440569
6896.31,6946.44,6847.94,6866.63,170820229
6668.99,6714.83,6483.39,6647.66,284493348
6696.31,6733.03,6501.85,6513.84,202701003
6557.85,6692.83,6517.18,6656.88,146282951
6715.17,6761.31,6655.69,6664.4,252620566
6782.3,6829.75,6781.3,6816.12,218423469
6823.08,6826.03,6765.06,6780.97,119681577
6749.18,6807.38,6720.02,6804.45,95709848
6798.08,6941.72,6787.04,6933.58,103543228
6971.77,6985.25,6920.57,6946.36,80873790
6931.86,6981.19,6915.58,6938.63,72637487
6952.51,6960.16,6867.42,6934.44,93219920
7010.77,7065.27,7002.77,7057.15,100538821
7068.29,7079.76,7041.31,7041.31,96956499
7086.56,7192.38,7086.56,7179.81,103281995
7178.59,7200.26,7168.24,7175.33,79303043
7174.69,7186.35,7129.41,7175.31,104296178
7197.37,7242.69,7157.68,7215.11,153826804
7212.46,7241.09,7175.35,7178.78,125935478
7226.79,7232.87,7195.44,7217.02,117314970
7215.34,7224.74,7157.33,7204.86,108180276
7131.44,7177.74,7089.17,7102.91,147621026
7135.21,7201.12,7122.51,7177.97,182479457
7160.99,7184.93,7099.66,7146.56,134294783
7166.98,7193.38,7144.96,7178.29,187054263
7165.99,7174.75,6994.56,7026.85,164025701
7050.85,7078.79,7027.04,7039.31,130665200
7137.1,7261.26,7136.74,7249.19,142620169
7294.58,7316.53,7280.1,7295.49,115549990
7288.77,7359.97,7278.52,7356.51,83584911
7374.11,7428.72,7361.24,7404.95,107732747
7450.57,7480.33,7426.62,7475.22,138746857
7475,7514.69,7461.53,7514.46,91919026
7570.86,7600.41,7527.64,7527.64,92276799
7518.6,7523.68,7446.83,7500.7,142242757
7475.18,7534.26,7355.4,7373.93,182282849
7416.38,7423.96,7291.39,7376.96,194782545
7391.04,7501.63,7362.55,7492.25,175842613
7461.35,7489.09,7379.97,7410.52,121919716
7446.44,7533.86,7423.33,7501.52,107865372
7526.56,7566.41,7469.63,7495.05,118548354
7438.02,7443.95,7356.76,7443.95,154681558
7486.2,7511.09,7391.14,7403.31,136905907
7348.12,7402.52,7284.96,7387.54,154747553
7346.81,7368.98,7253.89,7256.65,117672532
7325.85,7340.54,7261.29,7303.53,94210481
7360.47,7415.65,7316.74,7358.23,124126250
7372.18,7410.31,7228.13,7266.82,286355153
7158.08,7166.15,7105.2,7121.52,185423269
7129.94,7202.21,7128.04,7150.66,192418151
7079.25,7183.8,7071.42,7170.94,240866242
7202.72,7217.24,7087.32,7114.09,225578983
7205.13,7208.48,7115.48,7163.47,190774703
7165,7204.16,7146.98,7160.3,98885269
7240.12,7319.69,7238.77,7293.69,216280301
7310.56,7314.66,7193.89,7217.43,228394457
7155.86,7157.59,7074.12,7074.12,111571221
7101.48,7120.12,7021.36,7109.03,162476871
7095.4,7124.31,7062.73,7084.57,113887816
7094.14,7147.63,7086.9,7103.25,116854977
7076.31,7089.15,6991.62,7060.23,145468762
7061.87,7183.78,7035.86,7159.66,149323008
7152.55,7182.83,7050.84,7069.9,136641701
7075.91,7123.88,7040.42,7085.14,66733226
7165.14,7231.49,7161.21,7204.79,113236500
7178.05,7202.17,7093.23,7115.08,123869656
7062.18,7111.64,7017.98,7110.2,161149411
7084.27,7224.11,7037.24,7164.05,370256950
7078.59,7158.24,7063.86,7150.21,103236594
7202.88,7285.51,7176.74,7285.51,137260995
7285.93,7310.1,7262.37,7278.19,123719180
7225.2,7237.2,7118.52,7149.44,132149821
7231.73,7273.32,7099.22,7121.38,167176926
7101.15,7144.44,7079.11,7107.9,149933494
7138.5,7187.08,7075.19,7170.43,137243987
7230.95,7320.3,7230.95,7294.14,148483852
7310.34,7378.35,7285.44,7376.24,116711663
